model,layer,score
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.2.conv2,-3.5714
RESNET50,layer4.2.bn1,1.3214
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.2.conv2,-0.6786
RESNET50,layer4.2.conv2,1.7143
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.2.bn1,0.2857
RESNET50,layer4.2.bn2,1.1071
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.2.bn1,0.9286
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.1.2.bn2,-2.0714
RESNET50,layer4.2.conv3,1.9286
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.1.2.bn2,-2.9286
RESNET50,layer4.2.bn3,1.3214
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.0.0,-2.3571
RESNET50,layer4.2.relu,1.3214
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.0.0,-4.1071
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.0.1,-0.8214
RESNET50,avgpool,1.4643
RESNET50,fc,FAILED
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.0.1,1.1429
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.0.2,-0.8214
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.0.2,1.1429
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.1.conv1,0.2143
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.1.conv1,1.2500
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.1.conv2,0.3214
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.1.conv2,3.1429
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.1.bn1,1.6429
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.1.bn1,0.1786
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.1.bn2,0.1786
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.2.1.bn2,-0.2857
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.2.2.conv1,-1.3571
